2	Philadelphia	@	Dallas	3
3	Seattle	@	Atlanta	1
5	Chicago	@	Miami	12
7	Colorado	@	Las Vegas	2
7	Portland	@	Tennessee	4
5	San Francisco	@	San Antonio	0
6	New York	@	San Diego	2
2	Vancouver	@	Houston	6
9	Toronto	@	Phoenix	2
1	Detroit	@	Tampa Bay	10
0	Boston	@	New Orleans	3
2	Kansas City	@	Los Angeles	3
1	Seattle	@	Atlanta	3
1	Chicago	@	Miami	5
5	San Francisco	@	San Antonio	1
8	Portland	@	Tennessee	3
7	Detroit	@	Tampa Bay	6
1	Vancouver	@	Houston	9
4	Las Vegas	@	San Diego	5
5	San Francisco	@	Seattle	6
3	San Antonio	@	Miami	2
6	Chicago	@	New York	1
1	Colorado	@	Boston	3
4	Kansas City	@	Philadelphia	1
2	Dallas	@	Tennessee	5
7	New Orleans	@	Atlanta	11
6	Detroit	@	Toronto	3
2	Los Angeles	@	Phoenix	9
8	Houston	@	Tampa Bay	9
7	Vancouver	@	Portland	1
0	San Francisco	@	Seattle	4
0	Vancouver	@	Portland	6
3	Chicago	@	New York	5
0	Detroit	@	Toronto	8
2	Colorado	@	Boston	3
6	Kansas City	@	Philadelphia	4
9	Las Vegas	@	San Diego	3
8	Los Angeles	@	Phoenix	3
4	New Orleans	@	Atlanta	5
8	Dallas	@	Tennessee	4
6	San Antonio	@	Miami	8
2	Houston	@	Tampa Bay	3
