Philadelphia	Dallas
Seattle	Atlanta
Chicago	Miami
Colorado	Las Vegas
Portland	Tennessee
San Francisco	San Antonio
New York	San Diego
Vancouver	Houston
Toronto	Phoenix
Detroit	Tampa Bay
Boston	New Orleans
Kansas City	Los Angeles
Seattle	Atlanta
Chicago	Miami
San Francisco	San Antonio
Portland	Tennessee
Detroit	Tampa Bay
Vancouver	Houston
Las Vegas	San Diego
San Francisco	Seattle
San Antonio	Miami
Chicago	New York
Colorado	Boston
Kansas City	Philadelphia
Dallas	Tennessee
New Orleans	Atlanta
Detroit	Toronto
Los Angeles	Phoenix
Houston	Tampa Bay
Vancouver	Portland
San Francisco	Seattle
Vancouver	Portland
Chicago	New York
Detroit	Toronto
Colorado	Boston
Kansas City	Philadelphia
Las Vegas	San Diego
Los Angeles	Phoenix
New Orleans	Atlanta
Dallas	Tennessee
San Antonio	Miami
Houston	Tampa Bay
