New York Minutemen	@	Detroit Thunderbirds
Dallas Bandits	@	Oklahoma City Marshals
Tennessee Twisters	@	San Antonio Riverwalkers
Kansas City Crew Sox	@	Colorado Cascade
Miami Threshers	@	Carolina Copperheads
Seattle Sea Wolves	@	Portland Pioneers
San Francisco Wardens	@	San Diego Serpientes
Las Vegas Blackjacks	@	Los Angeles Aces
Salt Lake Stallions	@	Calgary Cougars
Philadelphia Skyrockets	@	Toronto Peregrines
Tampa Bay Spinners	@	Houston Inferno
Vancouver Spirit Bears	@	Phoenix Fennecs
Washington Legion	@	Minnesota Aurora

Kansas City Crew Sox	@	Colorado Cascade
Houston Inferno	@	New Orleans Corsairs
Dallas Bandits	@	Oklahoma City Marshals
Phoenix Fennecs	@	Salt Lake Stallions
Tampa Bay Spinners	@	Atlanta Mantas
Philadelphia Skyrockets	@	Toronto Peregrines
Boston Blitz	@	Washington Legion
Vancouver Spirit Bears	@	Calgary Cougars
Seattle Sea Wolves	@	Portland Pioneers
Las Vegas Blackjacks	@	Los Angeles Aces
Chicago Zephyrs	@	Minnesota Aurora
Miami Threshers	@	Carolina Copperheads

Dallas Bandits	@	Oklahoma City Marshals
Kansas City Crew Sox	@	Colorado Cascade
Las Vegas Blackjacks	@	Los Angeles Aces
Philadelphia Skyrockets	@	Toronto Peregrines
Phoenix Fennecs	@	Salt Lake Stallions
Tampa Bay Spinners	@	Atlanta Mantas
Miami Threshers	@	Carolina Copperheads
Vancouver Spirit Bears	@	Calgary Cougars
Seattle Sea Wolves	@	Portland Pioneers
Houston Inferno	@	New Orleans Corsairs
Chicago Zephyrs	@	Minnesota Aurora
Boston Blitz	@	Washington Legion

Boston Blitz	@	Washington Legion
Chicago Zephyrs	@	Minnesota Aurora
Phoenix Fennecs	@	Salt Lake Stallions
Vancouver Spirit Bears	@	Calgary Cougars
Houston Inferno	@	New Orleans Corsairs
Tampa Bay Spinners	@	Atlanta Mantas
